,screenName,description,location,text,Unnamed: 0,topic
0,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Al Roker has revealed he has been recently hospitalized and receiving treatment for blood clots https://t.co/w1CVOxUEST,0.0,health
1,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Uganda is grappling with its deadliest Ebola outbreak in more than a decade https://t.co/zgMhmFjBqh,2.0,health
2,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"As some Chinese provinces mark 100 days of lockdowns, public unrest is growing over the country's Covid restrictions, which have no end in sight. People are struggling to get enough food and essentials, prompting a new crisis of mental health. https://t.co/PFrwLtD6o4",79.0,health
3,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"When the US Food and Drug Administration confirmed a shortage of the drug Adderall last month, many people who rely on the medication weren't surprised: They've been struggling to fill their prescriptions for months. https://t.co/9zFTXwpoCN",155.0,health
4,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Cases of Covid-19 rebound following treatment with the antiviral medication Paxlovid appear to be at least twice as common as doctors previously knew, a new study suggests. https://t.co/lIm3CeQcnC",174.0,health
5,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Smoking weed while being a tobacco smoker may increase damage to the respiratory system, a new study found https://t.co/8LnUJtcOCz",175.0,health
6,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Uganda has been struggling with an Ebola outbreak for months, and health officials in the US are preparing for the possibility that the virus will spread across the Atlantic. https://t.co/Bj0kIdUFVL",187.0,health
7,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,The US Food and Drug Administration is charting a plan to enhance its surveillance of infant formula for Cronobacter bacteria. https://t.co/cBQWKvKxtE,203.0,health
8,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Smoking weed while being a tobacco smoker may increase damage to the respiratory system, a new study found https://t.co/sSIqto6hU9",247.0,health
9,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,How to protect your family against Covid-19 illness this Thanksgiving https://t.co/s4QWMFGQx7,270.0,health
10,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,There’s some bad blood brewing between Taylor Swift fans and Ticketmaster https://t.co/BBiIWTJ5fe https://t.co/CXxOB0jzpr,277.0,health
11,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Smoking weed while being a tobacco smoker may increase damage to the respiratory system, a new study found https://t.co/8dKPu6ySyE",327.0,health
12,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,Oat milk brand Oatly is planning to cut jobs as coronavirus restrictions in Asia dampen its sales forecast for this year https://t.co/C4Q1nBv1zR,1003.0,health
13,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,There’s some bad blood brewing between Taylor Swift fans and Ticketmaster https://t.co/2YJJMMMHug,1017.0,health
14,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Residents ""revolt"" over Covid lockdowns in China's southern manufacturing hub of Guangzhou, according to video and images circulating on social media https://t.co/DBXWflel0H https://t.co/TLp3mPBWDp",1018.0,health
15,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Walmart agreed to the framework of a $3.1 billion settlement, which resolves allegations from multiple states’ attorneys general that the company failed to regulate opioid prescriptions contributing to the nationwide opioid crisis https://t.co/wNQ1WEvsPc",1021.0,health
16,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Here are 5⃣ things you need to know today 👇

1⃣ Midterms results

2⃣ UVA shooting

3⃣ Airlines forced to pay more than $600 million in refunds

4⃣ Covid-19 booster uptake

5⃣ President Zelensky's peace plan https://t.co/B0i4qHZgD9",1027.0,health
17,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Although RSV does not typically send as many adults to the hospital, it can be a serious and even deadly disease for seniors and people with underlying health conditions https://t.co/LvqQaGRlXC",1031.0,health
18,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Grammy-winning musician Roberta Flack, whose hits include “Killing Me Softly with His Song,” has been diagnosed with ALS, also known as Lou Gehrig’s disease, and can no longer sing, her representatives said. https://t.co/qFmATxbLxe",1063.0,health
19,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Airlines have paid more than $600 million in refunds to hundreds of thousands of passengers for canceled or changed flights since the start of the Covid-19 pandemic, the Department of Transportation announced. https://t.co/PkyoeUjewL",1065.0,health
20,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"An experimental treatment, gantenerumab, failed to help people at high risk of memory loss from Alzheimer’s or those who were in the early phases of the disease, the manufacturer said https://t.co/UKubs7QdlI",1090.0,health
21,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Human remains found in a remote California location are those of a mother reported missing after a ""significant amount of blood"" was seen in her home, authorities say. https://t.co/n9A3ZmZZRd",1167.0,health
22,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"A mindfulness meditation course may be as effective at reducing anxiety as a common medication, according to a new study. https://t.co/ezH6okM5zO",1183.0,health
23,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Six people were killed after a pair of vintage military aircraft collided Saturday, the Dallas County Medical Examiner's office says. https://t.co/jpI0Hui30B",1219.0,health
24,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",,"Authorities in California are searching for a 25-year-old woman believed to be ""at risk"" after a ""significant amount of blood"" was found in her home, according to police. https://t.co/bid0kEyuu8",1269.0,health
