,screenName,description,location,text,Unnamed: 0,topic
0,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Youngkin pushes back on Democrat claims of ditching Martin Luther King Jr. in education standards https://t.co/KDeLMsw4th,0.0,politics
1,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,American Academy of Pediatrics urges Biden administration to declare emergency over 'unprecedented' RSV surge https://t.co/hlurgbgEN0,3.0,politics
2,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"AG Garland names special counsel to investigate Trump on Mar-a-Lago documents, Jan. 6 https://t.co/ny55hCDEEk",8.0,politics
3,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Cruz fights DC push to let illegal immigrants vote with bill to withhold federal funding https://t.co/U0w1Cw0B4m,13.0,politics
4,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Meet the GOP campaign committee leaders for the 2024 election cycle https://t.co/uZiaUIwb8E,14.0,politics
5,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Hakeem Jeffries announces bid for House Democratic leader https://t.co/VlRS7zhArR,18.0,politics
6,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Mike Huckabee hits campaign trail with Herschel Walker, addresses Trump factor in Georgia Senate runoff https://t.co/iipH950p0k",27.0,politics
7,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Mike Huckabee hits campaign trail with Herschel Walker, addresses Trump factor in Georgia Senate runoff https://t.co/c8oDCxgu3S",28.0,politics
8,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,White House to ask Supreme Court to rescue $500B student debt handout https://t.co/LXp9JIq5Si,29.0,politics
9,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Colorado election results: Boebert race likely heading to recount https://t.co/6uML9Gju7b,34.0,politics
10,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Musk's email triggers liberals, top Trump rivals gather at major event and more top headlines https://t.co/1HDOfHXtju",40.0,politics
11,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Biden's frequent Delaware trips have cost taxpayers at least $11 million https://t.co/wK6l5LqqUp,49.0,politics
12,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"MSNBC's Joy Reid blasts Hunter Biden probe, calls him a 'tragic figure' https://t.co/i0BFQRLoAH",58.0,politics
13,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Former Florida foster dad sentenced to federal prison for recording, molesting 18 children https://t.co/xEgMQETvEu",59.0,politics
14,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,'Americans will be shocked': Former Hunter Biden business partner lauds GOP probe into Hunter Biden https://t.co/rhOPYrZXoy,60.0,politics
15,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"OPINION: Next Congress must confront China, strengthen US global leadership without harming American businesses https://t.co/vqEybHreIj",61.0,politics
16,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Federal judge blocks Florida law against 'woke' teachings in colleges, calls it 'positively dystopian' https://t.co/8SsdPJkXVl",65.0,politics
17,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Biden administration requests immunity for Saudi crown prince in Khashoggi killing: 'Beyond ironic' https://t.co/tJZfJPH3Kf,76.0,politics
18,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"As Trump launches 2024 bid, potential leading nomination rivals gather at a major GOP cattle call https://t.co/fyjO1qSHqC",79.0,politics
19,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Conservatives react to Nancy Pelosi stepping down as Democratic leader: 'Good riddance!' https://t.co/LvET9de1Vt,88.0,politics
20,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Liberal journalists melt down over Republicans winning House, claim ‘illegal’ gerrymandering to blame https://t.co/kTmtLSGMaL",89.0,politics
21,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Pelosi ignores Trump in leadership farewell speech, mentioning Bush, Obama, Biden https://t.co/bBtoiN0XI6",91.0,politics
22,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,FBI Director Wray refuses to say if alleged Hunter Biden criminal activity is Russian 'disinformation' https://t.co/PspAwoz8ch,93.0,politics
23,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"AMERICA'S FINEST: Enes Kanter Freedom presented ""Most Valuable Patriot"" at Fox Nation's Patriot Awards. https://t.co/m9BI4rucCP https://t.co/FnB2KRWigP",99.0,politics
24,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Kari Lake lawyers up ahead of potential legal fight in Arizona governor race https://t.co/eZDVylIeem,100.0,politics
25,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,.@seanhannity: It's time to hold your government accountable https://t.co/OdyqPjAotE,105.0,politics
26,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,END OF AN ERA: @seanhannity reacts to Pelosi not seeking a leadership role in the next Congress. https://t.co/Q77l1Kdi3O https://t.co/wlESOoWbPk,109.0,politics
27,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Federal judge slammed on Twitter for striking down DeSantis' anti-woke legislation: 'Dumber than dirt' https://t.co/lXbT4vhJUy,123.0,politics
28,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"West Virginia AG Morrisey 'seriously evaluating' 2024 Senate run, posing threat to Manchin https://t.co/SDUdnKRuom",141.0,politics
29,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Left-wing activist David Brock exits anti-free speech operations to help Biden against congressional probes https://t.co/ZnxlOuLArM,144.0,politics
30,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Enes Kanter Freedom gets standing ovation, awarded 'Most Valuable Patriot' at Fox Nation's Patriot Awards https://t.co/vKV1eYjMhy",148.0,politics
31,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,MSNBC anchor slammed for complaining House Democrats never investigated the Trump family: 'Clown Alert' https://t.co/YEAMbAT63s,153.0,politics
32,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Puerto Rico federal finance control board announces new executive director https://t.co/J7IcdDYyUN,165.0,politics
33,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Federal judge blocks Florida law against 'woke' teachings in colleges, calls it 'positively dystopian' https://t.co/7bEK3Jzw9D",183.0,politics
34,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Hunter Biden investigations: Republicans welcome probes into president's son, Dems decry 'misuse of power' https://t.co/YBUNTxN2EV",208.0,politics
35,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Biden calls Pelosi 'most consequential' House speaker in history https://t.co/ls210P6HrS,213.0,politics
36,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"Gretchen Whitmer seems to hint at future presidential run, delighting CNN hosts: Focused on Michigan 'for now' https://t.co/GyG6JjlABs",214.0,politics
37,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,Conservatives react to Nancy Pelosi stepping down as Democratic leader: 'Good riddance!' https://t.co/9wDlS0WaAy,215.0,politics
38,FoxNews,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",U.S.A.,"GOP veteran congressmen demand DOD, State Dept. respond to Iran attacks on US interests in Iraq https://t.co/h32farCzoV",216.0,politics
