,screenName,description,location,text,Unnamed: 0,topic
0,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"Italy court rejects Google's appeal against watchdog fine, accepts Apple's one https://t.co/IamIrn5ZV7 https://t.co/cfNf8javMq",0.0,corporatenews
1,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,Jaguar Land Rover turns to laid-off tech workers for EV skills https://t.co/oU5rqJn2Y1 https://t.co/MRUrUoNQQ4,4.0,corporatenews
2,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,Indian food delivery firm Zomato's co-founder resigns https://t.co/mTxKL0qoIc https://t.co/pNsiphcey4,12.0,corporatenews
3,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"Companies are setting minimum prices on their goods to maintain profits, resulting in shoppers getting fewer discounts for everyday purchases, as retailers look to unload hundreds of billions of dollars of excess inventory https://t.co/7TFMFGJmMx https://t.co/XXcUNXTRqA",16.0,corporatenews
4,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"Twitter has reinstated the accounts of U.S. comedian Kathy Griffin and academic Jordan Peterson, Elon Musk said, adding that a decision to bring back former U.S. President Donald Trump's account is yet to be made https://t.co/MieI2X1dpN https://t.co/oU8Op2eS30",17.0,corporatenews
5,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"Archer Aviation, a California-based company, has unveiled its full-sized electric air taxi named 'Midnight' https://t.co/geUe4VvBS6",51.0,corporatenews
6,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"Tesla recalls 30,000 Model X cars, shares hit two-year low https://t.co/wdh4hja95Z https://t.co/i3AeD8BvU6",58.0,corporatenews
7,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,Elon Musk asks Twitter engineers to fly in for in-person meetings -email https://t.co/BJ1k0cKS4c https://t.co/tvyucOox1X,61.0,corporatenews
8,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"Italy court rejects Google's appeal against watchdog fine, accepts Apple's one https://t.co/YJ5vTi9U9n https://t.co/41JRDoIIU7",68.0,corporatenews
9,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"RT @ReutersLegal: Twitter has had a bumpy ride since new owner Elon Musk took charge last month. The chief executive of Twitter, who is als…",71.0,corporatenews
10,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,Jaguar Land Rover turns to laid-off tech workers for EV skills https://t.co/1Su0D1ItPv https://t.co/pGjdYraMMU,74.0,corporatenews
11,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"Biden to meet with Ford CEO, UAW Friday on economy https://t.co/fqSt3zq8Hl https://t.co/dW8UteFrTI",83.0,corporatenews
12,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,Indian food delivery firm Zomato's co-founder resigns https://t.co/QEXVfBM6rP https://t.co/nrCFmCcfX9,92.0,corporatenews
13,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"Australian soap opera Neighbours will return to the screen in 2023 after a deal with Amazon revived the show that launched the career of stars such as Margot Robbie, Kylie Minogue and all three Hemsworth brothers https://t.co/UFSISka6GX https://t.co/r7WCm0RKaf",103.0,corporatenews
14,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,"Tesla recalls about 30,000 Model X cars over air bag issue https://t.co/5sFW5O3Fad https://t.co/ve7XQxrScR",130.0,corporatenews
15,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz.",Around the world,Ethiopia has reactivated the sale of a stake in its state-owned telecoms company while South Africa's Eskom has warned of power cuts over the next year. These are the top five business stories from Africa this week https://t.co/BkfOaJyXnj,137.0,corporatenews
